target_lang|closest_lang_0|fixed_dist_0|closest_lang_1|fixed_dist_1|closest_lang_2|fixed_dist_2|closest_lang_3|fixed_dist_3|closest_lang_4|fixed_dist_4
seh|zyp|0.5|nld|0.5|quh|0.5|pes|0.5|glk|0.5
sey|gle|0.5|srn|0.5|hau|0.5|mbc|0.5|kvn|0.5
sgb|jac|0.5|inb|0.5|kde|0.5|ceb|0.5|iba|0.5
shp|ikk|0.5|qvw|0.5|cle|0.5|seh|0.5|ura|0.5
sja|kvn|0.5|far|0.5|gng|0.5|gam|0.5|mil|0.5
slk|rgu|0.5|agn|0.5|zab|0.5|kea|0.5|kwf|0.5
slv|hto|0.5|tgp|0.5|kwd|0.5|kdl|0.5|muy|0.5
sna|hrv|0.5|kyg|0.5|zac|0.5|ncu|0.5|soy|0.5
snd|gvc|0.5|gai|0.5|urd|0.5|zpz|0.5|hrv|0.5
snn|lac|0.5|agg|0.5|vid|0.5|kaq|0.5|xng|0.5
snp|mdy|0.5|dik|0.5|hau|0.5|azg|0.5|mkl|0.5
som|acf|0.5|chv|0.5|zty|0.5|muy|0.5|lac|0.5
soy|guo|0.5|fin|0.5|nab|0.5|tee|0.5|mbc|0.5
spa|ast|0.5|boj|0.5|afr|0.5|kfx|0.5|crn|0.5
spp|tna|0.5|dop|0.5|cat|0.5|ign|0.5|cab|0.5
spy|vid|0.5|ycn|0.5|daa|0.5|ksr|0.5|mil|0.5
sri|prf|0.5|huu|0.5|pes|0.5|quh|0.5|snn|0.5
srm|ttc|0.5|mie|0.5|bqc|0.5|mri|0.5|mcd|0.5
srn|tuo|0.5|poy|0.5|ast|0.5|boa|0.5|ata|0.5
srp|kor|0.5|hye|0.5|bzh|0.5|tbc|0.5|som|0.5
stp|glg|0.5|crn|0.5|por|0.5|cpb|0.5|tav|0.5
sus|miz|0.5|bus|0.5|agd|0.5|mit|0.5|ibo|0.5
suz|bjv|0.5|tur|0.5|kfx|0.5|luo|0.5|wol|0.5
swe|lug|0.5|lgl|0.5|sab|0.5|cbr|0.5|jav|0.5
swh|yor|0.5|qub|0.5|omw|0.5|lug|0.5|mgh|0.5
sxb|cbr|0.5|usp|0.5|hub|0.5|kam|0.5|quh|0.5
tac|mxq|0.5|ood|0.5|cbt|0.5|ura|0.5|ndj|0.5
taj|miz|0.5|glk|0.5|sxb|0.5|ign|0.5|pab|0.5
tam|bhd|0.5|cbu|0.5|jav|0.5|boj|0.5|ttc|0.5
tav|azj|0.5|lgl|0.5|nya|0.5|zty|0.5|qvz|0.5
tbc|tew|0.5|bgt|0.5|tam|0.5|mar|0.5|hau|0.5
tbg|cat|0.5|boj|0.5|poi|0.5|tam|0.5|kdc|0.5
tbl|bps|0.5|bem|0.5|ood|0.5|mar|0.5|zty|0.5
tbz|zai|0.5|arl|0.5|dah|0.5|cpa|0.5|ksr|0.5
tca|ycn|0.5|yre|0.5|cnt|0.5|zpu|0.5|kat|0.5
tcs|pol|0.5|tue|0.5|cbs|0.5|xed|0.5|knf|0.5
tee|cnl|0.5|qvh|0.5|med|0.5|tgk|0.5|pib|0.5
tel|kfs|0.5|azg|0.5|bus|0.5|afr|0.5|gub|0.5
tew|chz|0.5|nfa|0.5|otq|0.5|asm|0.5|cnt|0.5
tfr|ziw|0.5|bqc|0.5|amk|0.5|zpo|0.5|spp|0.5
tgk|qve|0.5|cbv|0.5|kue|0.5|mar|0.5|mcd|0.5
tgo|ptu|0.5|knf|0.5|gwi|0.5|loz|0.5|hns|0.5
tgp|mib|0.5|taj|0.5|kea|0.5|lgl|0.5|yal|0.5
tna|zpz|0.5|hun|0.5|lvs|0.5|zab|0.5|nch|0.5
tnk|djk|0.5|sus|0.5|kyg|0.5|amh|0.5|dah|0.5
tnn|snp|0.5|msy|0.5|xtd|0.5|cpu|0.5|lex|0.5
tnp|vid|0.5|khm|0.5|cui|0.5|quh|0.5|ngu|0.5
toc|mox|0.5|cuc|0.5|msy|0.5|poy|0.5|gyr|0.5
toi|fin|0.5|tfr|0.5|gle|0.5|zty|0.5|gux|0.5
tos|taj|0.5|xng|0.5|wmw|0.5|geb|0.5|zlm|0.5
tpi|rop|0.5|hye|0.5|iou|0.5|cbi|0.5|cbc|0.5
tpt|tav|0.5|ast|0.5|zpo|0.5|cui|0.5|ttc|0.5
trc|kat|0.5|grc|0.5|azj|0.5|sdh|0.5|bqp|0.5
ttc|mri|0.5|hvn|0.5|bzh|0.5|agn|0.5|urb|0.5
tte|zav|0.5|zyp|0.5|tbz|0.5|loz|0.5|upv|0.5
tue|amk|0.5|gbk|0.5|oci|0.5|ncl|0.5|mxt|0.5
tuf|lid|0.5|crn|0.5|hrv|0.5|nko|0.5|chz|0.5
tuo|xtm|0.5|qve|0.5|sgb|0.5|mri|0.5|cnt|0.5
tur|urd|0.5|mar|0.5|aia|0.5|poy|0.5|pes|0.5
txq|mbh|0.5|acf|0.5|bpr|0.5|ctu|0.5|cui|0.5
txu|kaz|0.5|nhy|0.5|tuo|0.5|gym|0.5|not|0.5
udu|bmu|0.5|ncl|0.5|cni|0.5|cco|0.5|kje|0.5
ukr|deu|0.5|xtd|0.5|ptu|0.5|mop|0.5|xnr|0.5
umb|mca|0.5|myy|0.5|apr|0.5|pol|0.5|atg|0.5
upv|mbb|0.5|ese|0.5|cbr|0.5|cap|0.5|yal|0.5
ura|tpi|0.5|kek|0.5|arb|0.5|tcs|0.5|mal|0.5
urb|bem|0.5|llg|0.5|bzh|0.5|udu|0.5|hin|0.5
urd|lid|0.5|gyr|0.5|hun|0.5|kne|0.5|tos|0.5
urk|zsm|0.5|yka|0.5|kea|0.5|mca|0.5|tbl|0.5
urt|qvm|0.5|tgk|0.5|tfr|0.5|ron|0.5|lww|0.5
usp|tbz|0.5|azz|0.5|bjr|0.5|nhe|0.5|cbs|0.5
uzn|usp|0.5|gng|0.5|upv|0.5|por|0.5|ruf|0.5
vid|kwf|0.5|lvs|0.5|zaw|0.5|mio|0.5|mpp|0.5
vie|maz|0.5|ese|0.5|ctu|0.5|geb|0.5|cuk|0.5
vmy|kek|0.5|zam|0.5|cnt|0.5|snn|0.5|ken|0.5
wap|iou|0.5|bbb|0.5|agn|0.5|qul|0.5|kyq|0.5
wmw|ben|0.5|seh|0.5|bjr|0.5|cof|0.5|boj|0.5
wol|obo|0.5|rro|0.5|hlt|0.5|hun|0.5|guo|0.5
xed|xon|0.5|vie|0.5|gng|0.5|yal|0.5|tam|0.5
xng|kaz|0.5|kyg|0.5|mie|0.5|kea|0.5|cnl|0.5
xnr|mih|0.5|tnn|0.5|ngp|0.5|kdl|0.5|gle|0.5
xon|mih|0.5|bbb|0.5|mbt|0.5|ibo|0.5|gng|0.5
xtd|mkl|0.5|imo|0.5|luo|0.5|bus|0.5|mcq|0.5
xtm|amf|0.5|bjv|0.5|tav|0.5|wmw|0.5|pad|0.5
yaa|ken|0.5|ign|0.5|med|0.5|zai|0.5|cbu|0.5
yad|seh|0.5|sab|0.5|kek|0.5|xtd|0.5|loz|0.5
yal|kfx|0.5|ded|0.5|box|0.5|ibo|0.5|muy|0.5
ycn|pls|0.5|kor|0.5|amk|0.5|con|0.5|gwi|0.5
yka|far|0.5|pjt|0.5|pes|0.5|arl|0.5|zaa|0.5
yor|bqc|0.5|llg|0.5|tcs|0.5|myy|0.5|crn|0.5
yre|otq|0.5|mqj|0.5|cpb|0.5|fon|0.5|jvn|0.5
yva|bus|0.5|tgp|0.5|kyz|0.5|ote|0.5|xed|0.5
zaa|nab|0.5|xnr|0.5|zab|0.5|caa|0.5|llg|0.5
zab|afr|0.5|yre|0.5|cbr|0.5|ikk|0.5|ken|0.5
zac|yor|0.5|gyr|0.5|bmr|0.5|ron|0.5|rus|0.5
zad|gam|0.5|mib|0.5|afr|0.5|nko|0.5|sri|0.5
zai|ndj|0.5|ksr|0.5|cwe|0.5|agn|0.5|mcq|0.5
zam|ita|0.5|geb|0.5|wmw|0.5|spa|0.5|ded|0.5
zao|guj|0.5|mgh|0.5|umb|0.5|toc|0.5|kyc|0.5
zar|zpm|0.5|mlt|0.5|nya|0.5|ruf|0.5|gym|0.5
zas|loz|0.5|lbb|0.5|tbc|0.5|hlt|0.5|ind|0.5
zav|pir|0.5|ind|0.5|ory|0.5|gum|0.5|usp|0.5
zaw|hye|0.5|nya|0.5|acr|0.5|trc|0.5|lac|0.5
zca|nca|0.5|bba|0.5|xtd|0.5|swe|0.5|yor|0.5
zga|hrv|0.5|snp|0.5|tel|0.5|cbt|0.5|cpu|0.5
ziw|gwi|0.5|tuf|0.5|cuk|0.5|tur|0.5|kmu|0.5
zlm|slv|0.5|cso|0.5|iou|0.5|tew|0.5|mbc|0.5
zos|bkd|0.5|fon|0.5|lit|0.5|mqj|0.5|box|0.5
zpc|dop|0.5|myk|0.5|pab|0.5|dah|0.5|dgo|0.5
zpl|azg|0.5|soy|0.5|lin|0.5|kaq|0.5|ote|0.5
zpm|daa|0.5|bqp|0.5|vie|0.5|tac|0.5|zaa|0.5
zpo|gyr|0.5|iba|0.5|sgb|0.5|zpm|0.5|pao|0.5
zpu|glg|0.5|tbl|0.5|bus|0.5|qvz|0.5|ziw|0.5
zpz|fra|0.5|kde|0.5|mib|0.5|zpl|0.5|som|0.5
zsm|cbv|0.5|por|0.5|ita|0.5|mqj|0.5|pab|0.5
ztq|heb|0.5|agu|0.5|sri|0.5|bgc|0.5|zpu|0.5
zty|jic|0.5|zpz|0.5|con|0.5|bjz|0.5|swe|0.5
zyp|knf|0.5|cnt|0.5|hau|0.5|zpm|0.5|guo|0.5
